Community Area,Name,2017 Population,Area (sq mi),Population density  (pop/sq mi)
1,Rogers Park,"55,062",1.84,"29,925.00"
2,West Ridge,"76,215",3.53,"21,590.65"
3,Uptown,"57,973",2.32,"24,988.36"
4,Lincoln Square,"41,715",2.56,"16,294.92"
5,North Center,"35,789",2.05,"17,458.05"
6,Lake View,"100,470",3.12,"32,201.92"
7,Lincoln Park,"67,710",3.16,"21,427.22"
8,Near North Side,"88,893",2.74,"32,442.70"
9,Edison Park,"11,605",1.13,"4,235.40"
10,Norwood Park,"37,089",4.37,"8,487.19"
11,Jefferson Park,"26,808",2.33,"11,505.58"
12,Forest Glen,"19,019",3.2,"5,943.44"
13,North Park,"18,842",2.52,"7,476.98"
14,Albany Park,"51,992",1.92,"27,079.17"
15,Portage Park,"64,307",3.95,"16,280.25"
16,Irving Park,"54,606",3.21,"17,011.21"
17,Dunning,"43,689",3.72,"11,744.35"
18,Montclare,"13,830",0.99,"13,969.70"
19,Belmont Cragin,"79,910",3.91,"20,437.34"
20,Hermosa,"24,144",1.17,"20,635.90"
21,Avondale,"37,368",1.98,"18,872.73"
22,Logan Square,"73,046",3.59,"20,347.08"
23,Humboldt Park,"56,427",3.6,"15,674.17"
24,West Town,"84,502",4.58,"18,450.22"
25,Austin,"95,260",7.15,"13,323.08"
26,West Garfield Park,"17,163",1.28,"13,408.59"
27,East Garfield Park,"19,996",1.93,"10,360.62"
28,Near West Side,"62,872",5.69,"11,049.56"
29,North Lawndale,"35,947",3.21,"11,198.44"
30,South Lawndale,"74,851",4.59,"16,307.41"
31,Lower West Side,"32,888",2.93,"11,224.57"
32,(The) Loop[11],"35,880",1.65,"21,745.45"
33,Near South Side,"23,620",1.78,"13,269.66"
34,Armour Square,"13,455",1,"13,455.00"
35,Douglas,"20,781",1.65,"12,594.55"
36,Oakland,"6,645",0.58,"11,456.90"
37,Fuller Park,"2,439",0.71,"3,435.21"
38,Grand Boulevard,"22,313",1.74,"12,823.56"
39,Kenwood,"17,189",1.04,"16,527.88"
40,Washington Park,"11,502",1.52,"7,567.11"
41,Hyde Park,"26,827",1.61,"16,662.73"
42,Woodlawn,"23,268",2.07,"11,240.58"
43,South Shore,"50,418",2.93,"17,207.51"
44,Chatham,"31,120",2.95,"10,549.15"
45,Avalon Park,"9,985",1.25,"7,988.00"
46,South Chicago,"28,263",3.34,"8,461.98"
47,Burnside,"2,254",0.61,"3,695.08"
48,Calumet Heights,"13,188",1.75,"7,536.00"
49,Roseland,"42,433",4.82,"8,803.53"
50,Pullman,"6,613",2.12,"3,119.34"
51,South Deering,"14,614",10.9,"1,340.73"
52,East Side,"23,737",2.98,"7,965.44"
53,West Pullman,"27,742",3.56,"7,792.70"
54,Riverdale,"7,394",3.53,"2,094.62"
55,Hegewisch,"9,418",5.24,"1,797.33"
56,Garfield Ridge,"36,396",4.23,"8,604.26"
57,Archer Heights,"13,142",2.01,"6,538.31"
58,Brighton Park,"44,813",2.72,"16,475.37"
59,McKinley Park,"15,767",1.41,"11,182.27"
60,Bridgeport,"33,637",2.09,"16,094.26"
61,New City,"39,561",4.83,"8,190.68"
62,West Elsdon,"19,237",1.17,"16,441.88"
63,Gage Park,"40,873",2.2,"18,578.64"
64,Clearing,"25,891",2.55,"10,153.33"
65,West Lawn,"33,108",2.95,"11,223.05"
66,Chicago Lawn,"53,098",3.53,"15,041.93"
67,West Englewood,"29,929",3.15,"9,501.27"
68,Englewood,"25,075",3.07,"8,167.75"
69,Greater Grand Crossing,"31,766",3.55,"8,948.17"
70,Ashburn,"43,792",4.86,"9,010.70"
71,Auburn Gresham,"46,278",3.77,"12,275.33"
72,Beverly Hills,"20,822",3.18,"6,547.80"
73,Washington Heights,"27,453",2.86,"9,598.95"
74,Mount Greenwood,"19,277",2.71,"7,113.28"
75,Morgan Park,"22,394",3.3,"6,786.06"
76,O'Hare,"12,377",13.34,927.81
77,Edgewater,"55,965",1.74,"32,163.79"
