Date,Temperature,Sea Level Pressure,Visibility,Wind Speed,Precipitation
2001-01-01,20.7,1030.1,9.7,5.9,0.0
2001-01-02,14.1,1036.5,9.9,7.4,0.0
2001-01-03,16.5,1025.5,5.5,10.7,0.0
2001-01-04,26.5,1018.9,6.3,8.2,0.0
2001-01-05,32.8,1004.0,9.1,13.4,0.0
2001-01-06,26.8,1009.2,10.0,8.7,0.35
2001-01-07,31.1,1009.4,8.4,7.8,0.0
2001-01-08,24.0,1018.3,10.0,8.3,0.0
2001-01-09,19.2,1026.1,10.0,9.2,0.0
2001-01-10,24.7,1023.3,10.0,10.2,0.0
2001-01-11,30.4,1020.5,9.5,6.8,0.0
2001-01-12,31.5,1022.4,5.6,4.2,0.0
2001-01-13,34.5,1023.8,4.2,6.0,0.0
2001-01-14,35.5,1015.0,3.4,8.4,0.18
2001-01-15,35.1,1013.4,3.7,10.6,0.06
2001-01-16,31.0,1021.6,6.3,10.3,0.01
2001-01-17,25.9,1026.6,7.4,7.1,0.0
2001-01-18,23.8,1019.7,5.9,8.4,0.0
2001-01-19,27.3,1018.8,6.9,9.3,0.0
2001-01-20,21.6,1025.0,9.1,8.8,0.0
2001-01-21,18.3,1026.7,9.7,7.0,0.0
2001-01-22,21.3,1030.0,6.4,4.4,0.0
2001-01-23,30.4,1023.1,6.0,7.2,0.0
2001-01-24,24.3,1021.3,7.5,9.0,0.0
2001-01-25,22.1,1030.7,9.7,9.4,0.0
2001-01-26,26.0,1017.9,6.9,10.6,0.0
2001-01-27,25.1,1022.0,9.0,11.4,0.0
2001-01-28,20.0,1027.0,9.6,8.0,0.0
2001-01-29,32.7,1016.1,4.6,7.7,0.0
2001-01-30,37.7,995.4,6.8,9.3,0.67
2001-01-31,34.4,1005.1,6.3,9.8,0.16
2001-02-01,28.8,1018.3,7.4,9.2,0.0
2001-02-02,8.6,1026.2,9.1,11.8,0.0
2001-02-03,18.0,1023.9,9.4,9.7,0.0
2001-02-04,33.8,1015.1,7.9,6.5,0.01
2001-02-05,30.3,1016.2,5.4,8.5,0.02
2001-02-06,32.6,1015.7,5.3,6.7,0.12
2001-02-07,28.1,1025.0,4.6,5.0,0.0
2001-02-08,42.3,1017.4,5.1,7.1,0.06
2001-02-09,48.4,1006.5,4.8,13.4,0.72
2001-02-10,20.8,1031.7,8.9,11.0,0.5
2001-02-11,19.0,1037.0,10.0,7.1,0.0
2001-02-12,30.2,1027.7,10.0,8.6,0.0
2001-02-13,35.8,1026.6,8.1,5.3,0.0
2001-02-14,36.6,1016.0,2.9,6.8,0.06
2001-02-15,31.3,1018.2,9.9,9.4,0.14
2001-02-16,30.9,1021.5,8.6,7.7,0.0
2001-02-17,15.8,1033.6,10.0,12.7,0.0
2001-02-18,16.9,1034.3,10.0,9.4,0.0
2001-02-19,34.4,1018.7,10.0,14.0,0.0
2001-02-20,35.3,1020.7,7.2,7.4,0.0
2001-02-21,18.4,1033.1,10.0,11.5,0.0
2001-02-22,23.1,1024.4,8.2,8.2,0.0
2001-02-23,25.5,1025.4,9.3,11.2,0.0
2001-02-24,33.4,1021.3,5.3,11.6,0.06
2001-02-25,43.6,1003.3,8.9,21.6,1.22
2001-02-26,31.5,1027.5,10.0,9.5,0.0
2001-02-27,29.3,1031.1,10.0,8.4,0.0
2001-02-28,21.0,1028.3,10.0,8.7,0.0
2001-03-01,28.7,1016.6,10.0,11.8,0.0
2001-03-02,35.4,1008.1,8.0,11.8,0.0
2001-03-03,36.4,1010.2,5.7,2.9,0.0
2001-03-04,33.0,1013.6,8.3,11.3,0.0
2001-03-05,26.1,1019.7,9.9,13.6,0.0
2001-03-06,27.1,1022.9,10.0,13.2,0.0
2001-03-07,32.6,1020.7,10.0,8.2,0.0
2001-03-08,31.8,1015.2,8.7,11.7,0.0
2001-03-09,31.6,1019.3,10.0,8.3,0.0
2001-03-10,35.6,1017.0,10.0,8.2,0.0
2001-03-11,37.4,1016.7,9.3,10.3,0.05
2001-03-12,38.6,1010.3,6.7,10.3,0.07
2001-03-13,38.0,999.9,8.4,14.2,0.17
2001-03-14,40.4,1010.6,9.5,10.0,0.0
2001-03-15,42.9,1009.7,6.0,10.6,0.04
2001-03-16,34.8,1011.2,2.7,16.8,0.45
2001-03-17,33.6,1022.6,5.8,10.2,0.06
2001-03-18,34.0,1031.2,10.0,4.3,0.08
2001-03-19,37.5,1030.7,10.0,5.5,0.0
2001-03-20,40.6,1026.2,10.0,7.2,0.0
2001-03-21,42.6,1021.6,10.0,8.1,0.0
2001-03-22,43.1,1019.7,6.7,6.1,0.0
2001-03-23,43.9,1017.8,8.1,8.7,0.0
2001-03-24,33.5,1020.4,10.0,14.0,0.0
2001-03-25,23.0,1024.4,9.0,12.1,0.0
2001-03-26,23.8,1025.4,10.0,9.6,0.0
2001-03-27,32.5,1026.1,10.0,5.8,0.0
2001-03-28,37.3,1022.8,10.0,7.5,0.0
2001-03-29,41.5,1017.2,7.4,7.0,0.01
2001-03-30,42.8,1015.2,7.9,7.8,0.0
2001-03-31,44.5,1011.1,6.0,6.8,0.0
2001-04-01,40.3,1010.2,9.9,12.4,0.07
2001-04-02,45.0,1015.3,10.0,5.1,0.0
2001-04-03,42.4,1018.9,9.7,14.0,0.0
2001-04-04,44.6,1027.4,8.8,9.1,0.0
2001-04-05,50.1,1022.1,9.6,7.4,0.0
2001-04-06,57.5,1010.8,3.0,7.0,0.4
2001-04-07,63.5,1004.5,6.9,14.2,0.1
2001-04-08,64.7,1008.8,10.0,11.5,0.0
2001-04-09,53.8,1009.3,9.6,10.0,0.23
2001-04-10,49.3,1012.3,7.1,8.7,0.04
2001-04-11,61.9,1006.1,6.8,10.1,0.0
2001-04-12,58.0,1001.1,9.7,20.5,0.53
2001-04-13,49.7,1018.0,10.0,8.0,0.0
2001-04-14,53.5,1016.8,10.0,6.2,0.0
2001-04-15,50.6,1012.8,9.3,9.2,0.48
2001-04-16,39.7,1016.5,9.6,13.9,0.7
2001-04-17,35.8,1024.3,8.3,13.6,0.0
2001-04-18,42.0,1025.9,10.0,5.4,0.0
2001-04-19,52.5,1018.2,10.0,8.8,0.0
2001-04-20,64.7,1010.2,9.7,11.8,0.0
2001-04-21,70.4,1009.3,9.3,16.2,0.44
2001-04-22,64.9,1018.3,9.1,8.3,0.01
2001-04-23,68.1,1009.4,10.0,17.9,0.19
2001-04-24,50.6,1019.6,10.0,13.7,0.05
2001-04-25,54.1,1024.2,10.0,7.4,0.0
2001-04-26,59.8,1020.9,10.0,10.7,0.0
2001-04-27,61.5,1020.0,10.0,11.5,0.0
2001-04-28,54.6,1027.9,10.0,6.5,0.0
2001-04-29,61.4,1028.6,10.0,8.6,0.0
2001-04-30,70.9,1021.4,10.0,9.1,0.0
2001-05-01,75.4,1013.2,10.0,11.8,0.0
2001-05-02,74.8,1012.2,10.0,12.6,0.0
2001-05-03,76.5,1017.2,10.0,10.2,0.0
2001-05-04,60.2,1020.9,9.5,8.7,0.0
2001-05-05,57.3,1021.5,10.0,9.9,0.0
2001-05-06,64.8,1018.3,10.0,8.2,0.03
2001-05-07,65.5,1016.5,8.8,10.2,0.15
2001-05-08,63.8,1020.4,10.0,10.9,0.21
2001-05-09,68.7,1019.0,10.0,8.3,0.0
2001-05-10,72.7,1013.6,10.0,11.8,0.07
2001-05-11,61.2,1012.9,8.6,9.3,0.58
2001-05-12,50.0,1023.9,10.0,11.2,0.41
2001-05-13,52.6,1025.9,10.0,5.0,0.01
2001-05-14,58.1,1019.8,9.8,9.4,0.0
2001-05-15,73.5,1008.2,10.0,10.0,0.11
2001-05-16,78.1,1001.9,9.4,8.6,0.0
2001-05-17,73.2,1005.7,7.6,5.4,0.11
2001-05-18,70.6,1009.3,9.9,10.1,0.01
2001-05-19,65.0,1012.7,10.0,7.3,0.18
